"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","22µ","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C2,C3","2","10µ","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C5,C6","2","10n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1,D2","2","1N4148W","","","","Diode_SMD:D_SOD-123F","https://www.vishay.com/docs/85748/1n4148w.pdf"
"J1","1","microbit_edge_connector","","","","Connector_PCBEdge:4UCON_10156_2x40_P1.27mm_Socket_Horizontal","https://www.microbit.co.uk/device/pins"
"J2,J3,J5,J6,J7,J8","6","Conn_01x04_Pin","","","","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","~"
"J4","1","Conn_01x02_Socket","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"J9","1","Conn_01x04_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"L1,L2","2","4µ7","","","","Inductor_SMD:L_1210_3225Metric","~"
"R2","1","62k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3","1","12k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5","1","49k9","","","","Resistor_SMD:R_1206_3216Metric","~"
"R6","1","16k3","","","","Resistor_SMD:R_1206_3216Metric","~"
"U1,U2","2","AP3211K","","","","Package_DFN_QFN:AO_AOZ666xDI_DFN-8-1EP_3x3mm_P0.65mm_EP1.25x2.7mm","https://www.diodes.com/assets/Datasheets/AP3211.pdf"
